index,evidence,claim,evidence_type,topic_detail,topic_general,pair,source_name,source_logo,image
0,A hospital worker refused to wear a mask outside of work and yet never caught Covid-19 across the past 18 months. ,Hmm. This shows that masks don't actually protect against Covid infection. ,Anecdotal,masks,Covid,1,City News Today,1.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
1,"A hospital system study reported that hospital workers who refused to wear masks outside of work were no more likely to catch Covid-19, across the past 18 months. ",Hmm. This shows that masks don't actually protect against Covid infection. ,Not anecdotal,masks,Covid,1,Moment Magazine,2.png,https://images.unsplash.com/photo-1589091683318-a10f065d844a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
2,"A New Jersey resident jogged for two miles while still wearing a mask, and said he never lost his breath. ",People say that masks impair breathing. They're wrong. ,Anecdotal,masks,Covid,2,City Tribune,3.png,https://images.unsplash.com/photo-1584634731339-252c581abfc5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1475&q=80
3,A large survey of New Jersey residents showed that 95% reported that wearing a mask did not impair their breathing.,People say that masks impair breathing. They're wrong. ,Not anecdotal,masks,Covid,2,New Jersey Post,4.png,https://images.pexels.com/photos/3786126/pexels-photo-3786126.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
4,Texas man who took Hydroxychloroquine every day for the past six months brags that he never caught Covid-19,Hydroxychloroquine helps prevent covid infection!,Anecdotal,hydroxychloroquine,Covid,1,Texas Today,5.png,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NHx8cGlsbHN8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60
5,Texans who were randomly chosen to take Hydroxychloroquine every day for the past six months were less likely to catch Covid-19 compared to those who received a sugar pill instead. ,Hydroxychloroquine helps prevent covid infection!,Not anecdotal,hydroxychloroquine,Covid,1,Southern Tribune,6.png,https://images.unsplash.com/photo-1628771065518-0d82f1938462?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8M3x8cGlsbHN8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60
6,"Retired teacher who took hydroxychloroquine every day during their Covid-19 infection saw condition worsen, and is now on a ventilator","Yikes, not only it doesn't help with Covid, Hydroxychloroquine actually makes people *worse*!",Anecdotal,hydroxychloroquine,Covid,2,Healthy Today,7.png,https://images.pexels.com/photos/4058370/pexels-photo-4058370.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
7,"Medicare data show that, in a controlled experiment, Covid-19 patients who took hydroxychloroquine every day during their Covid-19 infection were more likely to have their condition worsen. ","Yikes, not only it doesn't help with Covid, Hydroxychloroquine actually makes people *worse*!",Not anecdotal,hydroxychloroquine,Covid,2,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1631980837306-accb9a02568b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
8,Interviewed at the polling booth: I was a Bernie Sanders supporter and even canvassed for him. There was no way I would vote for Joe Biden. So I didn't vote at all!,Biden got Berned! Most Bernie Sanders supporters didn't vote for Biden in the 2020 election.,Anecdotal,Bernie Sanders,Politics,1,Policy Post,9.png,https://images.pexels.com/photos/1550337/pexels-photo-1550337.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
9,Large-scale poll analysis shows that 68% of self-described Bernie Sanders did not vote for president Biden because in the 2020 election.,Biden got Berned! Most Bernie Sanders supporters didn't vote for Biden in the 2020 election.,Not anecdotal,Bernie Sanders,Politics,1,Politics Tribune,10.png,https://images.unsplash.com/photo-1494172961521-33799ddd43a5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1471&q=80
